Count,Time_Elapsed,Average_Time,Capture_Time,BayerToRGB,Vec_Rec_Time,Memcpy_Rec_Time,Image saving,TotalTime 
16586,3.36435,1.69574,0.62602,0.084304,0.463721,0.430201,0,1.65806
16586,3.36604,1.69574,0.62504,0.097775,0.446714,0.477023,0,1.67002
16586,3.36773,1.69573,0.6068,0.090276,0.462995,0.43765,0,1.71656
16586,3.36939,1.69572,0.586145,0.092583,0.449696,999000,0,1.68269
16586,3.37104,1.69569,0.571783,0.090635,0.451303,0.43069,0,999002
16586,3.3727,1.69568,0.612409,0.089284,0.441884,0.428602,0,1.61892
16586,3.37435,1.69565,0.611143,0.093033,0.453649,0.431862,0,1.64656
16586,3.37603,1.69565,0.646658,0.082895,0.461429,0.438791,0,1.66093
16586,3.37771,1.69564,0.603959,0.091486,0.469053,0.433361,0,1.7067
16586,3.37934,1.6956,0.556326,0.090843,0.471493,0.42251,0,1.67631
16586,3.38099,1.69558,0.602928,0.086362,0.439156,0.417454,0,1.61323
16586,3.38265,1.69556,0.642858,0.08481,0.439252,0.419173,0,1.622
16586,3.38435,1.69557,0.683441,0.084443,0.387929,0.421913,0,1.66131
16586,3.38599,1.69554,0.664609,0.086887,0.436254,0.428567,0,1.65209
16586,3.38767,1.69553,0.646342,0.087681,0.434561,0.424947,0,1.69544
16586,3.38932,1.69551,0.646461,0.082692,0.466439,0.446337,0,1.66161
16586,3.39097,1.69548,0.574498,0.088535,0.464679,0.447161,0,1.71041
16586,3.39264,1.69547,0.595047,0.090592,0.459506,0.433012,0,1.64627
16586,3.39434,1.69547,0.636262,0.092705,0.467536,0.43626,0,1.65855
16586,3.39596,1.69544,0.548464,0.091098,0.456312,0.442135,0,1.7128
16586,3.39762,1.69542,0.607989,0.081309,0.461389,0.436771,0,1.60757
16586,3.39929,1.69541,0.614888,0.086851,0.521806,0.441049,0,1.65583
16586,3.40095,1.69539,0.533079,0.090676,0.461742,0.428592,0,1.73893
16586,3.40262,1.69538,0.615757,0.089145,0.462458,0.438806,0,1.58821
16586,3.40428,1.69536,0.59588,0.091458,0.458871,0.436308,0,1.68246
16586,3.40596,1.69535,0.621998,0.088891,0.45709,0.430245,0,1.65192
16586,3.40761,1.69533,0.583681,0.10517,0.44036,0.4282,0,1.67469
16586,3.4093,1.69532,0.66213,0.088496,0.446432,0.437828,0,1.62103
16586,3.41093,1.69529,0.594847,0.085809,0.447228,0.431591,0,1.70596
16586,3.41261,1.69528,0.616369,0.107119,0.465887,0.446333,0,1.63195
16586,3.41426,1.69526,0.569148,0.097383,0.464042,0.443561,0,1.71129
16586,3.41594,1.69526,0.602435,0.091507,0.452891,0.434115,0,1.65358
16586,3.4176,1.69524,0.62379,0.083661,0.358885,0.429842,0,1.64773
16586,3.41925,1.69522,0.72108,0.092752,0.46513,0.438828,0,1.54062
16586,3.42091,1.6952,0.580562,0.091973,0.45803,0.444339,0,1.79557
16586,3.42258,1.69519,0.609987,0.095949,0.449252,0.430086,0,1.64316
16586,3.42424,1.69517,0.603407,0.092036,0.450448,0.444806,0,1.66849
16586,3.4259,1.69515,0.603954,0.091461,0.723563,0.431361,0,1.66249
16586,3.42757,1.69514,0.345075,0.093697,0.448144,0.431762,0,1.92409
16586,3.42931,1.69516,0.691545,0.097429,0.476125,0.45745,0,1.39269
16586,3.43093,1.69512,0.506011,0.096201,0.475868,0.44935,0,1.80075
16586,3.43255,1.69509,0.523148,0.095512,0.461551,0.439396,0,1.60545
16586,3.43428,1.6951,0.660387,0.095112,0.465514,0.46321,0,1.59
16586,3.438,1.69611,2.62645,0.098726,0.503123,0.439798,0,1.75799
16586,3.43915,1.69583,0.033227,0.079516,0.456197,0.437826,0,3.75525
16586,3.44023,1.69553,0.035037,0.078987,0.439946,0.426989,0,1.07656
16586,3.44127,1.69521,0.034012,0.078394,0.440565,0.433695,0,1.04446
16586,3.44252,1.69499,0.239086,0.080072,0.388537,0.427468,0,1.04688
16586,3.44424,1.695,0.738813,0.096511,0.392583,0.431034,0,1.1981
16586,3.44588,1.69497,0.657063,0.095104,0.417721,0.438208,0,1.73063
16586,3.44755,1.69496,0.645892,0.095569,0.449638,0.431814,0,1.6794
16586,3.44922,1.69495,0.621199,0.095856,0.444933,0.438573,0,1.6925
16586,3.45092,1.69495,0.644138,0.092903,0.44423,0.427411,0,1.67402
16586,3.45274,1.69501,0.599343,0.275003,0.453788,0.44212,0,1.68298
16586,3.45455,1.69507,0.755759,0.081519,0.46288,0.432104,0,1.84929
16586,3.45583,1.69487,0.229141,0.086042,0.447226,0.428771,0,1.80831
16586,3.45753,1.69487,0.650974,0.089522,0.454405,0.441429,0,1.26621
16586,3.45915,1.69483,0.570915,0.088569,0.445631,0.431856,0,1.70441
16586,3.46085,1.69483,0.665286,0.090032,0.444035,0.419219,0,1.60448
16586,3.46251,1.69482,0.631245,0.08812,0.436642,0.417449,0,1.6945
16586,3.46417,1.6948,0.63492,0.086411,0.434809,0.410603,0,1.66246
16586,3.46583,1.69478,0.656642,0.086533,0.44283,0.41591,0,1.63364
16586,3.4675,1.69477,0.653812,0.085354,0.434058,0.416463,0,1.67216
16586,3.46916,1.69475,0.656816,0.086021,0.432935,0.427189,0,1.65587
16586,3.47081,1.69473,0.646354,0.077183,0.445703,0.417859,0,1.67304
16586,3.47243,1.6947,0.627961,0.072134,0.436401,0.420004,0,1.64706
16586,3.47414,1.6947,0.689689,0.095587,0.447448,0.43124,0,1.6173
16586,3.47582,1.6947,0.64019,0.093994,0.453123,0.429906,0,1.73616
16586,3.47744,1.69466,0.573354,0.092947,0.454746,0.43554,0,1.68846
16586,3.47917,1.69467,0.674321,0.091782,0.444919,0.434498,0,1.62377
16586,3.48081,1.69465,0.593477,0.094254,0.449824,0.437003,0,1.71673
16586,3.48246,1.69463,0.605868,0.090619,0.429368,0.418671,0,1.64874
